Film,U.S. release date,Box office gross Domestic (U.S. and Canada ),Box office gross Other territories,Box office gross Worldwide,Budget,MCU,Phase,Distributor,MPAA Rating,Length,Minutes,Source,Character Family,Domestic %,Gross to Budget,Rotten Tomatoes Critic Score,Male/Female-led,Year,Inflation Adjusted Worldwide Gross,Inflation Adjusted Budget,2.5x prod,Break Even
Howard the Duck,8/1/1986,"$16,295,774 ","$21,667,000 ",37962774,37000000,FALSE,NA,Universal Pictures,PG,1:50:00,110,Box Office Mojo,Howard the Duck,43%,1.03,13,Male,1986,"$105,389,025 ","$102,716,254 ","$92,500,000 ",Flop
The Punisher,10/5/1989,$0 ,"$30,000,000 ",30000000,9000000,FALSE,NA,New World International,R,1:29:00,89,Marvel Comics into Film: Essays on Adaptations Since the 1940s. McFarland & Company. 2016. pp. 234–6. ISBN 978-0786443048.,Punisher,0%,3.33,25,Male,1989,"$73,611,823 ","$22,083,547 ","$22,500,000 ",Success
Blade,8/21/1998,"$70,087,718 ","$61,123,659 ",131211377,45000000,FALSE,NA,New Line Cinema,R,2:00:00,120,Box Office Mojo/Wizard Magazine,Blade,53%,2.92,58,Male,1998,"$244,924,308 ","$83,998,767 ","$112,500,000 ",Success
X-Men,7/14/2000,"$157,299,718 ","$139,039,810 ",296339528,75000000,FALSE,NA,Twentieth Century Fox,PG-13,1:44:00,104,Box Office Mojo,X-Men,53%,3.95,82,Male,2000,"$523,605,788 ","$132,518,380 ","$187,500,000 ",Success
Blade II,3/22/2002,"$82,348,319 ","$72,661,713 ",155010032,54000000,FALSE,NA,New Line Cinema,R,1:57:00,117,Box Office Mojo,Blade,53%,2.87,57,Male,2002,"$262,166,167 ","$91,329,399 ","$135,000,000 ",Success
Spider-Man,5/3/2002,"$407,022,860 ","$418,002,176 ",825025036,139000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,2:01:00,121,Box Office Mojo,Spider-Man,49%,5.94,90,Male,2002,"$1,395,352,599 ","$235,088,637 ","$347,500,000 ",Success
Daredevil,2/14/2003,"$102,543,518 ","$76,636,200 ",179179718,78000000,FALSE,NA,Twentieth Century Fox,PG-13,1:43:00,103,Box Office Mojo,Daredevil,57%,2.3,43,Male,2003,"$296,291,387 ","$128,980,715 ","$195,000,000 ",Flop
X2,4/30/2003,"$214,949,694 ","$192,761,855 ",407711549,110000000,FALSE,NA,Twentieth Century Fox,PG-13,2:14:00,134,Box Office Mojo,X-Men,53%,3.71,85,Male,2003,"$674,191,374 ","$181,895,880 ","$275,000,000 ",Success
Hulk,6/20/2003,"$132,177,234 ","$113,107,931 ",245285165,137000000,FALSE,NA,Universal Pictures,PG-13,2:18:00,138,Box Office Mojo,Hulk,54%,1.79,63,Male,2003,"$405,603,282 ","$226,543,051 ","$342,500,000 ",Flop
The Punisher,4/16/2004,"$33,810,189 ","$20,889,916 ",54700105,33000000,FALSE,NA,Lions Gate Films,R,2:04:00,124,Box Office Mojo,Punisher,62%,1.66,29,Male,2004,"$88,105,740 ","$53,153,269 ","$82,500,000 ",Flop
Spider-Man 2,6/30/2004,"$373,585,825 ","$415,390,628 ",788976453,200000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,2:07:00,127,Box Office Mojo,Spider-Man,47%,3.94,93,Male,2004,"$1,270,808,424 ","$322,141,027 ","$500,000,000 ",Success
Blade: Trinity,12/8/2004,"$52,411,906 ","$79,565,998 ",131977904,65000000,FALSE,NA,New Line Cinema,R,1:53:00,113,Box Office Mojo,Blade,40%,2.03,24,Male,2004,"$212,577,488 ","$104,695,834 ","$162,500,000 ",Flop
Elektra,1/14/2005,"$24,409,722 ","$32,585,924 ",56995646,43000000,FALSE,NA,Twentieth Century Fox,PG-13,1:37:00,97,Box Office Mojo,Daredevil,43%,1.33,11,Female,2005,"$88,794,781 ","$66,990,653 ","$107,500,000 ",Flop
Fantastic Four,7/8/2005,"$154,696,080 ","$178,839,854 ",333535934,100000000,FALSE,NA,Twentieth Century Fox,PG-13,1:46:00,106,Box Office Mojo,Fantastic Four,46%,3.34,28,Male,2005,"$519,623,026 ","$155,792,217 ","$250,000,000 ",Success
X-Men: The Last Stand,5/26/2006,"$234,362,462 ","$226,072,829 ",460435291,210000000,FALSE,NA,Twentieth Century Fox,PG-13,1:44:00,104,Box Office Mojo,X-Men,51%,2.19,57,Male,2006,"$694,906,025 ","$316,939,792 ","$525,000,000 ",Flop
